# h/a,X_tt,Y_tt
0.00100000,3141404.38617764,939212.07936147
0.00200000,785260.89960672,234776.94202888
0.00300000,348993.29858350,104340.89503777
0.00400000,196263.86832929,58678.36009035
0.00500000,125615.78666613,37556.43181171
0.00600000,87237.42913178,26082.16784747
0.00700000,64095.42578273,19163.37965946
0.00800000,49073.88754434,14672.23937738
0.00900000,38775.94649950,11593.35357469
0.01000000,31406.40050474,9390.07981780
0.01100000,25956.12602292,7760.53376902
0.01200000,21810.98011068,6521.25344710
0.01300000,18585.28548534,5556.86260147
0.01400000,16025.50841075,4791.54541629
0.01500000,13960.46268556,4174.14550961
0.01600000,12270.27583099,3668.81979901
0.01700000,10868.91431809,3249.84614676
0.01800000,9695.14751768,2898.92032003
0.01900000,8701.75607248,2601.91857927
0.02000000,7853.65308581,2348.35636184
0.02100000,7123.74565652,2130.12995366
0.02200000,6491.07649557,1940.97631746
0.02300000,5939.15535134,1775.96502599
0.02400000,5454.55411425,1631.08197126
0.02500000,5027.11813871,1503.28887388
0.02600000,4648.06001410,1389.96286299
0.02700000,4310.31094321,1288.98081262
0.02800000,4008.12080355,1198.63288340
0.02900000,3736.64495324,1117.46704234
0.03000000,3491.73899053,1044.24777007
0.03100000,3270.25167237,978.02680466
0.03200000,3069.22274024,917.92408909
0.03300000,2886.18282113,863.20047813
0.03400000,2719.05047902,813.23205109
0.03500000,2566.03482609,767.48369344
0.03600000,2425.59644987,725.49561187
0.03700000,2296.32880919,686.84821688
0.03800000,2177.19208142,651.22817427
0.03900000,2067.09486546,618.31218246
0.04000000,1965.15266961,587.83394574
0.04100000,1870.57740254,559.55803481
0.04200000,1782.67680365,533.27769019
0.04300000,1700.80380953,508.79928714
0.04400000,1624.48665056,485.98290963
0.04500000,1553.19617194,464.66876518
0.04600000,1486.50367101,444.72926232
0.04700000,1424.02298390,426.04892392
0.04800000,1365.40689562,408.52425365
0.04900000,1310.34475474,392.06213123
0.05000000,1258.52677011,376.56956979
0.05100000,1209.74961196,361.98660331
0.05200000,1163.75987606,348.23661581
0.05300000,1120.34960351,335.25804478
0.05400000,1079.32854030,322.99374827
0.05500000,1040.52314681,311.39158759
0.05600000,1003.76250263,300.40121566
0.05700000,968.93385897,289.98836046
0.05800000,935.89339478,280.10986781
0.05900000,904.51597090,270.72872488
0.06000000,874.69829173,261.81411740
0.06100000,846.33095772,253.33292681
0.06200000,819.32837065,245.25991580
0.06300000,793.58698476,237.56382037
0.06400000,769.05453080,230.22911375
0.06500000,745.64754026,223.23113788
0.06600000,723.29324182,216.54757310
0.06700000,701.93531768,210.16209662
0.06800000,681.51113712,204.05578507
0.06900000,661.96871184,198.21311358
0.07000000,643.24949299,192.61656538
0.07100000,625.32491645,187.25759783
0.07200000,608.13972051,182.11947391
0.07300000,591.65775203,177.19186286
0.07400000,575.83897556,172.46245727
0.07500000,560.64920881,167.92115573
0.07600000,546.04745572,163.55555577
0.07700000,532.01701899,159.36078893
0.07800000,518.52368979,155.32661188
0.07900000,505.53971700,151.44479449
0.08000000,493.03929833,147.70744458
0.08100000,480.99900714,144.10776494
0.08200000,469.39604139,140.63870324
0.08300000,458.20542729,137.29301513
0.08400000,447.41686471,134.06757014
0.08500000,437.00762310,130.95549214
0.08600000,426.95827948,127.95098150
0.08700000,417.25282531,125.04929759
0.08800000,407.87802215,122.24648822
0.08900000,398.81197793,119.53599554
0.09000000,390.05108123,116.91671165
0.09100000,381.57797742,114.38350001
0.09200000,373.37918635,111.93226928
0.09300000,365.44305419,109.55958337
0.09400000,357.75969379,107.26250841
0.09500000,350.31693863,105.03728227
0.09600000,343.10197209,102.88021681
0.09700000,336.11317528,100.79073368
0.09800000,329.33687383,98.76488862
0.09900000,322.76478208,96.79997598
0.10000000,316.38869758,94.89370689
0.10100000,310.20135748,93.04388160
0.10200000,304.19235295,91.24735444
0.10300000,298.36032094,89.50373355
0.10400000,292.69527172,87.81004930
0.10500000,287.19160597,86.16466589
0.10600000,281.84299909,84.56559063
0.10700000,276.64361378,83.01112979
0.10800000,271.58827239,81.49973759
0.10900000,266.66856870,80.02888908
0.11000000,261.88492663,78.59872551
0.11100000,257.23020218,77.20711064
0.11200000,252.69916265,75.85248855
0.11300000,248.28837133,74.53376690
0.11400000,243.99314951,73.24966369
0.11500000,239.80911143,71.99878405
0.11600000,235.73117998,70.77961275
0.11700000,231.75892612,69.59203497
0.11800000,227.88745188,68.43458062
0.11900000,224.11307583,67.30616935
0.12000000,220.43296246,66.20594976
0.12100000,216.84350749,65.13283954
0.12200000,213.34047279,64.08554332
0.12300000,209.92406084,63.06414945
0.12400000,206.58991400,62.06737118
0.12500000,203.33547673,61.09441198
0.12600000,200.15813488,60.14450774
0.12700000,197.05581057,59.21702134
0.12800000,194.02585877,58.31117661
0.12900000,191.06468014,57.42590796
0.13000000,188.17280985,56.56135308
0.13100000,185.34704461,55.71655782
0.13200000,182.58522956,54.89088392
0.13300000,179.88567576,54.08382933
0.13400000,177.24604950,53.29469939
0.13500000,174.66370561,52.52266639
0.13600000,172.13931819,51.76797059
0.13700000,169.67003925,51.02975838
0.13800000,167.25430095,50.30757185
0.13900000,164.89048523,49.60089788
0.14000000,162.57716824,48.90931380
0.14100000,160.31314142,48.23246658
0.14200000,158.09537105,47.56943905
0.14300000,155.92517255,46.92067276
0.14400000,153.79992711,46.28532122
0.14500000,151.71850029,45.66306140
0.14600000,149.67987508,45.05361366
0.14700000,147.68269694,44.45655912
0.14800000,145.72571711,43.87151486
0.14900000,143.80726146,43.29797842
0.15000000,141.92783136,42.73612600
0.15100000,140.08569528,42.18542303
0.15200000,138.27976135,41.64554663
0.15300000,136.50920592,41.11624212
0.15400000,134.77289484,40.59717798
0.15500000,133.06935665,40.08791379
0.15600000,131.39923396,39.58863693
0.15700000,129.76107318,39.09893626
0.15800000,128.15385760,38.61845654
0.15900000,126.57689742,38.14703346
0.16000000,125.02941568,37.68443491
0.16100000,123.51046843,37.23035424
0.16200000,122.01913832,36.78452657
0.16300000,120.55586565,36.34711039
0.16400000,118.73589708,35.86730540
0.16500000,117.25456356,35.43631130
0.16600000,115.83029010,35.01705891
0.16700000,114.43928982,34.60633900
0.16800000,113.07651792,34.20328348
0.16900000,111.74108713,33.80787568
0.17000000,110.43110392,33.41970172
0.17100000,109.14541463,33.03849117
0.17200000,107.88316250,32.66404832
0.17300000,106.64362629,32.29620563
0.17400000,105.42633525,31.93482552
0.17500000,104.22978522,31.57950645
0.17600000,103.05464923,31.23044688
0.17700000,101.90001918,30.88739486
0.17800000,100.76514876,30.55014669
0.17900000,99.64961244,30.21858241
0.18000000,98.55291007,29.89255345
0.18100000,97.47481983,29.57202979
0.18200000,96.41410460,29.25660504
0.18300000,95.37148555,28.94652525
0.18400000,94.34606691,28.64153079
0.18500000,93.33753149,28.34150393
0.18600000,92.34531466,28.04630286
0.18700000,91.36929044,27.75589970
0.18800000,90.40847145,27.46998164
0.18900000,89.46339920,27.18872447
0.19000000,88.53346031,26.91195091
0.19100000,87.61827505,26.63954547
0.19200000,86.71741918,26.37137542
0.19300000,85.83067978,26.10739897
0.19400000,84.95729835,25.84736475
0.19500000,84.09787277,25.59148213
0.19600000,83.25166079,25.33950867
0.19700000,82.41840317,25.09137658
0.19800000,81.59789783,24.84703270
0.19900000,80.78983707,24.60637610
0.20000000,79.99386740,24.36930179
0.20100000,79.20951879,24.13568090
0.20200000,78.43720903,23.90563396
0.20300000,77.67646434,23.67901306
0.20400000,76.92681518,23.45568985
0.20500000,76.18827458,23.23566772
0.20600000,75.46055597,23.01886523
0.20700000,74.74337104,22.80518093
0.20800000,74.03624392,22.59448860
0.20900000,73.33968603,22.38693664
0.21000000,72.65300273,22.18231870
0.21100000,71.97623396,21.98063759
0.21200000,71.30900563,21.78179743
0.21300000,70.65123005,21.58576789
0.21400000,70.00239230,21.39239774
0.21500000,69.36297214,21.20182409
0.21600000,68.73244247,21.01389107
0.21700000,68.11062097,20.82855215
0.21800000,67.49745038,20.64577675
0.21900000,66.89267829,20.46551029
0.22000000,66.29620718,20.28770699
0.22100000,65.70751275,20.11221916
0.22200000,65.12709628,19.93919158
0.22300000,64.55449381,19.76848973
0.22400000,63.98962592,19.60008226
0.22500000,63.43230617,19.43392811
0.22600000,62.88243259,19.26998715
0.22700000,62.33951166,19.10811436
0.22800000,61.80398697,18.94844839
0.22900000,61.27556604,18.79088777
0.23000000,60.75406734,18.63539544
0.23100000,60.23929200,18.48189766
0.23200000,59.73121733,18.33039916
0.23300000,59.22970529,18.18085206
0.23400000,58.73442499,18.03316444
0.23500000,58.24568030,17.88741456
0.23600000,57.76316096,17.74352093
0.23700000,57.28677730,17.60145751
0.23800000,56.81640896,17.46118522
0.23900000,56.35196671,17.32267138
0.24000000,55.89334553,17.18589708
0.24100000,55.44022702,17.05075788
0.24200000,54.99291621,16.91735057
0.24300000,54.55119521,16.78561276
0.24400000,54.11486222,16.65547130
0.24500000,53.68388868,16.52693194
0.24600000,53.25821919,16.39996832
0.24700000,52.83747647,16.27447558
0.24800000,52.42211730,16.15058658
0.24900000,52.01168219,16.02816814
0.25000000,51.60620979,15.90722507
0.25100000,51.20562376,15.78773690
0.25200000,50.80974719,15.66965434
0.25300000,50.41863389,15.55299061
0.25400000,50.03195779,15.43764853
0.25500000,49.65002080,15.32372121
0.25600000,49.27254436,15.21111581
0.25700000,48.89952073,15.09984408
0.25800000,48.53077442,14.98984528
0.25900000,48.16638707,14.88115081
0.26000000,47.80597144,14.77363433
0.26100000,47.44989173,14.66741483
0.26200000,47.09791390,14.56241213
0.26300000,46.74996843,14.45861498
0.26400000,46.40595430,14.35599488
0.26500000,46.06584385,14.25453316
0.26600000,45.72958112,14.15421857
0.26700000,45.39696188,14.05499218
0.26800000,45.06820146,13.95691736
0.26900000,44.74311855,13.85993535
0.27000000,44.42165686,13.76403741
0.27100000,44.10376975,13.66920647
0.27200000,43.78936907,13.57541206
0.27300000,43.47844847,13.48265831
0.27400000,43.17075463,13.39086596
0.27500000,42.86662716,13.30013647
0.27600000,42.56578062,13.21038616
0.27700000,42.26819435,13.12160777
0.27800000,41.97378909,13.03378055
0.27900000,41.68259879,12.94691083
0.28000000,41.39437555,12.86092717
0.28100000,41.10938774,12.77591043
0.28200000,40.82740470,12.69178690
0.28300000,40.54845915,12.60857139
0.28400000,40.27243101,12.52622515
0.28500000,39.99931394,12.44474769
0.28600000,39.72894114,12.36409254
0.28700000,39.46152918,12.28431452
0.28800000,39.19689058,12.20536850
0.28900000,38.93501601,12.12724869
0.29000000,38.67586241,12.04994153
0.29100000,38.41933584,11.97341493
0.29200000,38.16549937,11.89769018
0.29300000,37.91413076,11.82270499
0.29400000,37.66542901,11.74851490
0.29500000,37.41929279,11.67508859
