# h/a,X_tt,Y_tt
0.00100000,3999999.54463975,1999999.77231987
0.00200000,999999.88615994,499999.94307997
0.00300000,444444.45006813,222222.22503406
0.00400000,249999.97153998,124999.98576999
0.00500000,160000.00964389,80000.00482195
0.00600000,111111.11251703,55555.55625852
0.00700000,81632.65369747,40816.32684873
0.00800000,62499.99288500,31249.99644250
0.00900000,49382.72320661,24691.36160331
0.01000000,40000.00241097,20000.00120549
0.01100000,33057.85276384,16528.92638192
0.01200000,27777.77812926,13888.88906463
0.01300000,23668.63831899,11834.31915949
0.01400000,20408.16342437,10204.08171218
0.01500000,17777.77817204,8888.88908602
0.01600000,15624.99822125,7812.49911062
0.01700000,13840.82972409,6920.41486205
0.01800000,12345.68080165,6172.84040083
0.01900000,11080.33355141,5540.16677570
0.02000000,10000.00060274,5000.00030137
0.02100000,9070.29564863,4535.14782431
0.02200000,8264.46319096,4132.23159548
0.02300000,7561.43666314,3780.71833157
0.02400000,6944.44453231,3472.22226616
0.02500000,6399.99977133,3199.99988567
0.02600000,5917.15957975,2958.57978987
0.02700000,5486.96853549,2743.48426774
0.02800000,5102.04085609,2551.02042805
0.02900000,4756.24313622,2378.12156811
0.03000000,4444.44454301,2222.22227151
0.03100000,4162.33107451,2081.16553726
0.03200000,3906.24955531,1953.12477766
0.03300000,3673.09446242,1836.54723121
0.03400000,3460.20743102,1730.10371551
0.03500000,3265.30597653,1632.65298827
0.03600000,3086.42020041,1543.21010021
0.03700000,2921.84071991,1460.92035996
0.03800000,2770.08338785,1385.04169393
0.03900000,2629.84879103,1314.92439552
0.04000000,2500.00015069,1250.00007534
0.04100000,2379.53581600,1189.76790800
0.04200000,2267.57391216,1133.78695608
0.04300000,2163.33138214,1081.66569107
0.04400000,2066.11579774,1033.05789887
0.04500000,1975.30863561,987.65431781
0.04600000,1890.35916578,945.17958289
0.04700000,1810.77430080,905.38715040
0.04800000,1736.11113308,868.05556654
0.04900000,1665.97255120,832.98627560
0.05000000,1599.99994283,799.99997142
0.05100000,1537.87013152,768.93506576
0.05200000,1479.28989494,739.64494747
0.05300000,1423.99433858,711.99716929
0.05400000,1371.74213387,685.87106694
0.05500000,1322.31410306,661.15705153
0.05600000,1275.51021402,637.75510701
0.05700000,1231.14805545,615.57402772
0.05800000,1189.06078405,594.53039203
0.05900000,1149.09510538,574.54755269
0.06000000,1111.11113575,555.55556788
0.06100000,1074.97982423,537.48991212
0.06200000,1040.58276863,520.29138431
0.06300000,1007.81051444,503.90525722
0.06400000,976.56238883,488.28119441
0.06500000,946.74563648,473.37281824
0.06600000,918.27361560,459.13680780
0.06700000,891.06700475,445.53350238
0.06800000,865.05185776,432.52592888
0.06900000,840.15970184,420.07985092
0.07000000,816.32649413,408.16324707
0.07100000,793.49328062,396.74664031
0.07200000,771.60505010,385.80252505
0.07300000,750.60989186,375.30494593
0.07400000,730.46017998,365.23008999
0.07500000,711.11112038,355.55556019
0.07600000,692.52084696,346.26042348
0.07700000,674.65007006,337.32503503
0.07800000,657.46219776,328.73109888
0.07900000,640.92287416,320.46143708
0.08000000,625.00003767,312.50001884
0.08100000,609.66316424,304.83158212
0.08200000,594.88395400,297.44197700
0.08300000,580.63583423,290.31791711
0.08400000,566.89347804,283.44673902
0.08500000,553.63318896,276.81659448
0.08600000,540.83284554,270.41642277
0.08700000,528.47141649,264.23570824
0.08800000,516.52894943,258.26447472
0.08900000,504.98676022,252.49338011
0.09000000,493.82715890,246.91357945
0.09100000,483.03345408,241.51672704
0.09200000,472.58979145,236.29489572
0.09300000,462.48122683,231.24061342
0.09400000,452.69357520,226.34678760
0.09500000,443.21331343,221.60665672
0.09600000,434.02778327,217.01389163
0.09700000,425.12489219,212.56244610
0.09800000,416.49313780,208.24656890
0.09900000,408.12162121,204.06081061
0.10000000,399.99998571,199.99999285
0.10100000,392.11838468,196.05919234
0.10200000,384.46753288,192.23376644
0.10300000,377.03835110,188.51917555
0.10400000,369.82247373,184.91123687
0.10500000,362.81181128,181.40590564
0.10600000,355.99858464,177.99929232
0.10700000,349.37551765,174.68775883
0.10800000,342.93553347,171.46776673
0.10900000,336.67200929,168.33600465
0.11000000,330.57852576,165.28926288
0.11100000,324.64898333,162.32449167
0.11200000,318.87755351,159.43877675
0.11300000,313.25869143,156.62934572
0.11400000,307.78701386,153.89350693
0.11500000,302.45747594,151.22873797
0.11600000,297.26519601,148.63259801
0.11700000,292.20545343,146.10272671
0.11800000,287.27377635,143.63688817
0.11900000,282.46592368,141.23296184
0.12000000,277.77778394,138.88889197
0.12100000,273.20539442,136.60269721
0.12200000,268.74495606,134.37247803
0.12300000,264.39288283,132.19644141
0.12400000,260.14569216,130.07284608
0.12500000,256.00000434,128.00000217
0.12600000,251.95262861,125.97631431
0.12700000,248.00049780,124.00024890
0.12800000,244.14059721,122.07029860
0.12900000,240.37019121,120.18509561
0.13000000,236.68640912,118.34320456
0.13100000,233.08667866,116.54333933
0.13200000,229.56840390,114.78420195
0.13300000,226.12923117,113.06461558
0.13400000,222.76675119,111.38337559
0.13500000,219.47872738,109.73936369
0.13600000,216.26296444,108.13148222
0.13700000,213.11741023,106.55870511
0.13800000,210.03992546,105.01996273
0.13900000,207.02863251,103.51431626
0.14000000,204.08162353,102.04081177
0.14100000,201.19712649,100.59856324
0.14200000,198.37332015,99.18666008
0.14300000,195.60857770,97.80428885
0.14400000,192.90126253,96.45063126
0.14500000,190.24971490,95.12485745
0.14600000,187.65247296,93.82623648
0.14700000,185.10804480,92.55402240
0.14800000,182.61504499,91.30752250
0.14900000,180.17206056,90.08603028
0.15000000,177.77778009,88.88889005
0.15100000,175.43091733,87.71545867
0.15200000,173.13021174,86.56510587
0.15300000,170.87446106,85.43723053
0.15400000,168.66251751,84.33125876
0.15500000,166.49323870,83.24661935
0.15600000,164.36554944,82.18277472
0.15700000,162.27837873,81.13918936
0.15800000,160.23071854,80.11535927
0.15900000,158.22159146,79.11079573
0.16000000,156.25000942,78.12500471
0.16100000,154.31502986,77.15751493
0.16200000,152.41579106,76.20789553
0.16300000,150.55139288,75.27569644
0.16400000,148.72098850,74.36049425
0.16500000,146.92376850,73.46188425
0.16600000,145.15895856,72.57947928
0.16700000,143.42573823,71.71286911
0.16800000,141.72336951,70.86168475
0.16900000,140.05112465,70.02556233
0.17000000,138.40829724,69.20414862
0.17100000,136.79422197,68.39711098
0.17200000,135.20821138,67.60410569
0.17300000,133.64964814,66.82482407
0.17400000,132.11785412,66.05892706
0.17500000,130.61224842,65.30612421
0.17600000,129.13223736,64.56611868
0.17700000,127.67722611,63.83861305
0.17800000,126.24669005,63.12334503
0.17900000,124.84004011,62.42002005
0.18000000,123.45678973,61.72839486
0.18100000,122.09641415,61.04820707
0.18200000,120.75836352,60.37918176
0.18300000,119.44220758,59.72110379
0.18400000,118.14744786,59.07372393
0.18500000,116.87362318,58.43681159
0.18600000,115.62030671,57.81015335
0.18700000,114.38702431,57.19351215
0.18800000,113.17339380,56.58669690
0.18900000,111.97895809,55.98947904
0.19000000,110.80332836,55.40166418
0.19100000,109.64611856,54.82305928
0.19200000,108.50694582,54.25347291
0.19300000,107.38542452,53.69271226
0.19400000,106.28122305,53.14061152
0.19500000,105.19396189,52.59698094
0.19600000,104.12328445,52.06164223
0.19700000,103.06887881,51.53443940
0.19800000,102.03040530,51.01520265
0.19900000,101.00754464,50.50377232
0.20000000,99.99999643,49.99999821
0.20100000,99.00744564,49.50372282
0.20200000,98.02959617,49.01479809
0.20300000,97.06617983,48.53308992
0.20400000,96.11688322,48.05844161
0.20500000,95.18144196,47.59072098
0.20600000,94.25958778,47.12979389
0.20700000,93.35106842,46.67553421
0.20800000,92.45561843,46.22780922
0.20900000,91.57298838,45.78649419
0.21000000,90.70295282,45.35147641
0.21100000,89.84524640,44.92262320
0.21200000,88.99964616,44.49982308
0.21300000,88.16593393,44.08296696
0.21400000,87.34387941,43.67193971
0.21500000,86.53326633,43.26663316
0.21600000,85.73388337,42.86694168
0.21700000,84.94553993,42.47276996
0.21800000,84.16800232,42.08400116
0.21900000,83.40109719,41.70054859
0.22000000,82.64463144,41.32231572
0.22100000,81.89840901,40.94920451
0.22200000,81.16224583,40.58112292
0.22300000,80.43596195,40.21798097
0.22400000,79.71938838,39.85969419
0.22500000,79.01235270,39.50617635
0.22600000,78.31467286,39.15733643
0.22700000,77.62619788,38.81309894
0.22800000,76.94675347,38.47337673
0.22900000,76.27619529,38.13809765
0.23000000,75.61436898,37.80718449
0.23100000,74.96111119,37.48055559
0.23200000,74.31629900,37.15814950
0.23300000,73.67975741,36.83987870
0.23400000,73.05136336,36.52568168
0.23500000,72.43096682,36.21548341
0.23600000,71.81844409,35.90922204
